Matricula,Actividad de clase 01,Actividad de clase 02,Actividad de clase 03,Actividad de clase 04,Actividad de clase 05,Actividad de clase 06,Actividad de clase 07,Tarea 01,Tarea 02,Comprobacion de estudios 01,Comprobacion de estudios 02,Comprobacion de estudios 03,Examen final,Situacion problema
A01657471,100,100,100,100,100,100,100,100,100,100,100,100,35,88
A01659437,100,100,100,90,90,100,100,100,100,90,75,85,92.5,88
A01664350,100,100,100,100,100,100,100,100,100,0,100,100,75,88
A01752246,100,100,100,20,100,100,100,100,100,20,100,100,80,95
A01660700,100,100,100,90,100,100,100,100,0,100,100,85,65,66
A01664713,0,100,100,100,100,100,100,100,100,90,100,95,85,95
A01652689,0,100,100,100,100,100,100,100,100,80,100,0,75,66
A01667599,100,100,100,90,100,100,0,100,100,90,100,65,85,100
A01668316,100,100,100,100,100,100,100,100,100,100,100,100,70,80
A01802720,100,100,100,100,100,100,100,100,100,100,100,100,57.5,95
A01660111,100,0,0,100,0,0,0,0,100,0,100,55,72.5,80
A01658690,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A01658522,100,100,100,90,100,100,100,100,100,90,50,40,59.5,95
A01666361,100,100,100,100,100,100,100,100,100,100,100,100,82.5,95
A01660734,100,100,0,60,60,0,80,100,40,50,0,65,0,0
A01657374,100,100,100,100,100,100,100,100,100,100,100,100,52.5,100
A01667125,0,0,0,50,0,0,0,0,0,0,0,0,0,0
A01660399,0,100,100,90,100,100,100,100,100,100,75,60,72.5,80
A01786898,100,100,100,100,100,100,100,100,100,100,95,100,62.5,100
A01659112,100,100,100,0,100,100,100,100,100,80,100,60,57.5,80
A01662379,100,100,100,90,100,100,0,100,100,100,100,80,65,80
A01667403,60,35,100,100,80,100,80,80,0,70,100,90,20,95
